uid,sid
0,0
0,3
0,4
0,5
0,7
0,9
0,13
0,15
0,19
0,22
0,23
0,26
0,27
0,33
0,38
0,40
0,41
0,44
0,48
0,50
0,51
1,58
1,60
1,62
1,64
1,67
1,68
1,78
1,84
1,92
1,96
1,97
1,104
1,105
1,48
1,113
1,116
1,0
1,123
1,124
1,127
1,128
1,132
1,134
1,145
1,148
1,151
1,155
1,156
1,160
1,164
1,167
1,168
1,171
2,58
2,177
2,64
2,183
2,184
2,186
2,84
2,189
2,44
2,104
2,50
2,113
2,116
2,195
2,124
2,123
2,4
2,5
2,127
2,128
2,199
2,22
2,41
2,168
2,206
3,64
3,209
3,210
3,44
3,48
3,113
3,124
3,127
3,26
3,156
3,213
3,214
3,217
4,218
4,221
4,62
4,68
4,237
4,78
4,184
4,243
4,244
4,246
4,104
4,259
4,195
4,264
4,4
4,128
4,273
4,132
4,277
4,280
4,283
4,290
4,167
4,51
4,305
4,67
4,315
4,317
4,27
4,321
4,189
4,48
4,3
4,9
4,352
4,155
4,156
4,38
4,376
4,381
4,171
5,385
5,68
5,244
5,33
5,40
5,104
5,264
5,123
5,64
5,420
5,3
5,134
5,381
6,58
6,62
6,68
6,237
6,78
6,97
6,195
6,264
6,124
6,132
6,148
6,22
6,151
6,432
6,189
6,92
6,434
6,48
6,113
6,156
7,221
7,437
7,62
7,244
7,97
7,40
7,104
7,116
7,195
7,264
7,132
7,23
7,280
7,283
7,51
7,432
7,64
7,67
7,27
7,321
7,189
7,92
7,48
7,113
7,499
7,134
7,156
7,512
8,437
8,237
8,246
8,515
8,40
8,104
8,259
8,116
8,264
8,123
8,4
8,128
8,132
8,23
8,151
8,280
8,290
8,164
8,167
8,51
8,528
8,531
8,64
8,67
8,315
8,317
8,27
8,538
8,434
8,48
8,50
8,113
8,420
8,3
8,541
8,547
8,38
8,41
9,58
9,60
9,184
9,84
9,33
9,97
9,515
9,40
9,116
9,124
9,123
9,5
9,127
9,587
9,273
9,132
9,22
9,290
9,164
9,167
9,528
9,611
9,7
9,315
9,186
9,96
9,44
9,50
9,642
9,420
9,643
9,9
9,499
9,662
9,160
9,213
9,669
9,38
9,41
9,376
9,171
9,177
9,13
9,246
9,104
9,4
9,15
9,277
9,19
9,23
9,280
9,283
9,711
9,714
9,206
9,733
9,432
9,531
9,64
9,209
9,741
9,317
9,743
9,183
9,27
9,92
9,189
9,538
9,755
9,434
9,105
9,113
9,3
9,134
9,766
9,199
9,547
9,26
9,217
10,184
10,84
10,788
10,116
10,123
10,5
10,127
10,128
10,290
10,164
10,167
10,7
10,642
10,352
10,38
10,171
10,177
10,13
10,104
10,259
10,4
10,15
10,280
10,206
10,51
10,305
10,432
10,67
10,317
10,92
10,113
10,134
10,547
10,156
11,0
11,127
11,128
11,7
11,9
11,669
11,434
12,218
12,58
12,60
12,84
12,97
12,124
12,123
12,5
12,127
12,587
12,128
12,132
12,167
12,528
12,186
12,44
12,643
12,9
12,145
12,155
12,160
12,437
12,62
12,78
12,244
12,259
12,277
12,148
12,23
12,151
12,733
12,64
12,741
12,189
12,92
12,48
12,113
12,26
12,156
13,184
13,541
13,38
13,168
13,68
13,244
13,104
13,51
13,317
13,105
13,134
14,58
14,184
14,788
14,116
14,0
14,195
14,124
14,127
14,128
14,132
14,290
14,164
14,167
14,186
14,44
14,541
14,352
14,155
14,160
14,38
14,168
14,376
14,171
14,62
14,68
14,78
14,244
14,246
14,104
14,259
14,148
14,23
14,151
14,280
14,711
14,305
14,64
14,67
14,317
14,189
14,92
14,48
14,113
14,3
14,134
14,156
15,218
15,352
15,512
15,4
15,733
16,237
16,97
16,515
16,116
16,0
16,124
16,123
16,128
16,132
16,22
16,214
16,290
16,167
16,528
16,611
16,315
16,96
16,44
16,50
16,643
16,155
16,662
16,160
16,38
16,376
16,171
16,381
16,62
16,68
16,78
16,244
16,246
16,104
16,259
16,4
16,277
16,23
16,151
16,280
16,714
16,733
16,432
16,531
16,64
16,67
16,209
16,743
16,189
16,92
16,538
16,48
16,113
16,134
16,26
16,156
16,217
17,218
17,58
17,60
17,237
17,84
17,33
17,97
17,40
17,0
17,124
17,123
17,5
17,127
17,587
17,214
17,164
17,186
17,44
17,541
17,9
17,155
17,160
17,213
17,168
17,381
17,62
17,210
17,68
17,244
17,246
17,104
17,259
17,264
17,4
17,19
17,148
17,23
17,283
17,711
17,714
17,733
17,531
17,64
17,741
17,317
17,27
17,189
17,92
17,48
17,26
17,156
17,217
18,218
18,58
18,60
18,237
18,243
18,84
18,33
18,97
18,515
18,40
18,116
18,0
18,195
18,124
18,5
18,127
18,587
18,128
18,273
18,132
18,22
18,214
18,167
18,528
18,315
18,186
18,96
18,44
18,50
18,643
18,541
18,9
18,352
18,155
18,213
18,669
18,38
18,41
18,512
18,376
18,171
18,381
18,13
18,210
18,78
18,104
18,264
18,4
18,277
18,148
18,23
18,151
18,711
18,714
18,733
18,305
18,432
18,64
18,209
18,1158
18,741
18,317
18,189
18,92
18,538
18,755
18,48
18,113
18,547
18,26
18,217
19,58
19,97
19,132
19,214
19,290
19,155
19,68
19,246
19,104
19,151
19,92
19,48
19,217
20,218
20,243
20,33
20,40
20,4
20,64
21,218
21,58
21,60
21,184
21,84
21,97
21,515
21,116
21,195
21,124
21,5
21,127
21,587
21,273
21,132
21,22
21,214
21,290
21,167
21,186
21,321
21,642
21,9
21,155
21,160
21,669
21,38
21,512
21,376
21,385
21,221
21,177
21,62
21,13
21,210
21,68
21,244
21,104
21,264
21,15
21,277
21,19
21,148
21,151
21,283
21,714
21,206
21,51
21,305
21,432
21,64
21,209
21,741
21,189
21,92
21,538
21,105
21,113
21,134
21,26
21,217
22,58
22,60
22,237
22,184
22,97
22,40
22,116
22,124
22,587
22,128
22,132
22,214
22,164
22,528
22,611
22,315
22,321
22,96
22,44
22,642
22,145
22,155
22,662
22,160
22,669
22,38
22,512
22,376
22,381
22,221
22,62
22,210
22,68
22,78
22,244
22,246
22,104
22,259
22,264
22,4
22,277
22,19
22,151
22,711
22,714
22,51
22,733
22,432
22,531
22,67
22,209
22,1158
22,741
22,743
22,189
22,538
22,434
22,113
22,134
22,26
22,217
23,218
23,58
23,60
23,84
23,116
23,0
23,123
23,5
23,127
23,587
23,128
23,273
23,22
23,164
23,167
23,186
23,96
23,44
23,642
23,420
23,9
23,352
23,669
23,168
23,385
23,177
23,13
23,244
23,104
23,259
23,15
23,19
23,148
23,23
23,280
23,51
23,733
23,67
23,741
23,183
23,27
23,189
23,92
23,538
23,755
23,434
23,105
23,48
23,134
23,766
23,547
24,218
24,60
24,237
24,243
24,33
24,515
24,124
24,127
24,273
24,132
24,22
24,528
24,7
24,186
24,44
24,50
24,643
24,541
24,352
24,160
24,213
24,68
24,78
24,4
24,280
24,733
24,432
24,531
24,64
24,189
24,92
24,48
24,113
25,58
25,60
25,243
25,84
25,788
25,33
25,97
25,40
25,116
25,124
25,127
25,587
25,128
25,273
25,22
25,290
25,164
25,167
25,186
25,44
25,50
25,642
25,352
25,160
25,213
25,41
25,168
25,171
25,385
25,221
25,437
25,177
25,62
25,13
25,104
25,264
25,4
25,15
25,19
25,148
25,280
25,283
25,741
25,183
25,27
25,538
25,755
25,113
25,3
25,547
25,26
25,156
25,217
26,218
26,184
26,116
26,127
26,167
26,321
26,44
26,642
26,420
26,669
26,177
26,246
26,104
26,206
26,741
26,743
26,105
26,26
27,58
27,237
27,184
27,40
27,116
27,0
27,124
27,5
27,127
27,128
27,132
27,290
27,167
27,315
27,186
27,96
27,44
27,642
27,420
27,9
27,213
27,38
27,168
27,376
27,221
27,13
27,246
27,104
27,259
27,19
27,23
27,280
27,714
27,206
27,51
27,64
27,209
27,105
27,113
27,134
27,766
27,26
27,217
28,237
28,97
28,195
28,124
28,127
28,132
28,214
28,167
28,528
28,186
28,44
28,420
28,643
28,145
28,155
28,213
28,669
28,38
28,385
28,62
28,210
28,78
28,259
28,264
28,277
28,151
28,711
28,714
28,64
28,209
28,743
28,189
28,92
28,755
28,434
28,105
28,113
28,199
28,156
28,217
29,184
29,97
29,116
29,128
29,132
29,164
29,167
29,38
29,244
29,246
29,104
29,259
29,23
29,51
29,67
29,48
29,26
30,58
30,84
30,116
30,5
30,273
30,22
30,642
30,145
30,171
30,13
30,4
30,711
30,206
30,64
30,741
30,189
30,113
30,766
30,199
30,547
31,97
31,128
31,132
31,164
31,38
31,376
31,62
31,246
31,104
31,259
31,151
31,51
31,531
31,317
31,48
31,113
32,184
32,84
32,97
32,515
32,116
32,0
32,195
32,124
32,123
32,127
32,587
32,128
32,273
32,132
32,22
32,214
32,164
32,167
32,528
32,186
32,321
32,96
32,44
32,642
32,420
32,643
32,9
32,662
32,213
32,669
32,38
32,41
32,376
32,381
32,385
32,437
32,177
32,62
32,13
32,78
32,244
32,104
32,259
32,264
32,15
32,277
32,19
32,23
32,711
32,714
32,206
32,51
32,64
32,67
32,209
32,1158
32,317
32,183
32,27
32,92
32,538
32,434
32,105
32,113
32,134
32,766
32,199
32,26
32,156
32,217
33,243
33,84
33,40
33,124
33,5
33,273
33,22
33,290
33,164
33,167
33,7
33,642
33,541
33,9
33,499
33,213
33,168
33,171
33,381
33,385
33,221
33,437
33,13
33,104
33,15
33,148
33,280
33,283
33,711
33,1158
33,183
33,27
33,3
33,134
33,547
33,26
34,124
34,5
34,127
34,587
34,132
34,167
34,321
34,420
34,9
34,38
34,221
34,437
34,244
34,104
34,280
34,206
34,51
34,305
34,531
34,64
34,755
34,105
34,3
34,134
34,766
35,218
35,58
35,60
35,237
35,243
35,84
35,788
35,33
35,97
35,515
35,40
35,116
35,195
35,124
35,5
35,127
35,587
35,128
35,273
35,132
35,22
35,214
35,290
35,528
35,315
35,186
35,44
35,50
35,420
35,643
35,541
35,352
35,145
35,155
35,662
35,160
35,213
35,669
35,38
35,168
35,512
35,376
35,171
35,381
35,385
35,437
35,62
35,13
35,210
35,68
35,78
35,244
35,246
35,104
35,264
35,4
35,15
35,277
35,19
35,148
35,23
35,151
35,711
35,714
35,206
35,51
35,733
35,305
35,432
35,64
35,209
35,317
35,743
35,183
35,189
35,92
35,538
35,434
35,48
35,113
35,3
35,547
35,26
35,156
35,217
36,58
36,116
36,5
36,420
36,171
36,385
36,264
36,15
36,64
36,27
36,113
36,134
36,547
37,58
37,33
37,40
37,541
37,171
37,381
37,221
37,437
37,244
37,264
37,4
37,280
37,432
37,27
37,3
37,134
37,547
38,237
38,184
38,243
38,788
38,515
38,0
38,273
38,167
38,315
38,50
38,541
38,352
38,38
38,68
38,246
38,104
38,4
38,277
38,733
38,305
38,531
38,317
38,27
38,134
39,218
39,195
39,124
39,123
39,5
39,127
39,587
39,611
39,186
39,420
39,643
39,9
39,160
39,171
39,385
39,277
39,64
39,741
39,189
40,60
40,124
40,44
40,38
40,512
40,68
40,64
40,27
40,92
41,58
41,60
41,237
41,184
41,97
41,116
41,0
41,195
41,124
41,5
41,127
41,128
41,273
41,132
41,22
41,214
41,167
41,528
41,611
41,186
41,96
41,44
41,50
41,642
41,643
41,541
41,9
41,155
41,662
41,160
41,213
41,669
41,168
41,376
41,171
41,381
41,385
41,177
41,62
41,210
41,78
41,244
41,104
41,264
41,277
41,19
41,23
41,151
41,711
41,714
41,733
41,432
41,64
41,209
41,741
41,743
41,183
41,189
41,538
41,755
41,434
41,113
41,199
41,547
41,26
41,217
42,237
42,184
42,788
42,5
42,315
42,50
42,38
42,41
42,171
42,104
42,134
42,547
43,218
43,58
43,60
43,237
43,97
43,40
43,116
43,0
43,195
43,124
43,123
43,5
43,127
43,587
43,128
43,273
43,132
43,22
43,167
43,528
43,186
43,96
43,44
43,642
43,420
43,643
43,541
43,9
43,155
43,662
43,160
43,669
43,38
43,512
43,381
43,385
43,177
43,62
43,13
43,277
43,19
43,148
43,23
43,206
43,733
43,432
43,531
43,64
43,741
43,183
43,189
43,538
43,755
43,113
43,134
43,199
43,547
43,26
43,217
44,184
44,243
44,33
44,40
44,116
44,5
44,273
44,22
44,290
44,164
44,315
44,50
44,642
44,168
44,381
44,385
44,221
44,13
44,104
44,264
44,4
44,15
44,23
44,733
44,189
44,134
44,766
44,199
44,547
45,60
46,0
46,128
46,167
46,7
46,669
46,381
46,385
46,23
46,51
46,67
46,434
47,218
47,58
47,237
47,84
47,33
47,97
47,40
47,116
47,0
47,195
47,124
47,123
47,5
47,127
47,587
47,128
47,22
47,528
47,186
47,50
47,642
47,420
47,643
47,9
47,155
47,662
47,160
47,213
47,669
47,385
47,78
47,246
47,4
47,280
47,283
47,733
47,432
47,27
47,189
47,92
47,538
47,134
47,156
47,60
47,788
47,273
47,132
47,214
47,290
47,164
47,167
47,7
47,96
47,44
47,541
47,352
47,145
47,38
47,168
47,376
47,512
47,381
47,171
47,221
47,62
47,13
47,210
47,68
47,244
47,104
47,259
47,264
47,15
47,277
47,19
47,148
47,23
47,151
47,714
47,206
47,51
47,64
47,67
47,209
47,741
47,1158
47,743
47,755
47,434
47,48
47,113
47,199
47,547
47,26
47,217
48,58
48,237
48,97
48,40
48,0
48,195
48,124
48,587
48,528
48,50
48,643
48,155
48,160
48,669
48,4
48,189
48,538
48,60
48,243
48,132
48,145
48,62
48,210
48,68
48,244
48,104
48,264
48,148
48,23
48,151
48,714
48,531
48,64
48,48
48,113
49,58
49,237
49,68
49,104
49,15
49,531
49,113
50,237
50,33
50,40
50,116
50,50
50,246
50,27
50,134
50,214
50,290
50,167
50,315
50,381
50,221
50,104
51,58
51,97
51,195
51,128
51,160
51,78
51,432
51,189
51,92
51,60
51,788
51,145
51,512
51,62
51,104
51,148
51,23
51,151
51,48
51,113
52,218
52,58
52,237
52,184
52,84
52,33
52,97
52,0
52,124
52,123
52,587
52,128
52,22
52,528
52,50
52,642
52,420
52,643
52,9
52,155
52,662
52,160
52,213
52,669
52,437
52,78
52,246
52,4
52,280
52,283
52,733
52,432
52,27
52,189
52,538
52,134
52,156
52,60
52,788
52,515
52,273
52,132
52,214
52,164
52,167
52,315
52,96
52,44
52,352
52,145
52,38
52,41
52,168
52,512
52,376
52,171
52,381
52,62
52,210
52,68
52,244
52,104
52,259
52,264
52,277
52,19
52,151
52,711
52,714
52,51
52,531
52,64
52,67
52,209
52,1158
52,741
52,317
52,743
52,434
52,105
52,48
52,113
52,26
52,217
53,0
53,50
53,177
53,44
53,381
53,15
53,206
53,183
53,766
53,199
54,97
54,128
54,50
54,420
54,280
54,92
54,164
54,167
54,38
54,171
54,244
54,259
54,23
54,151
54,67
55,184
55,33
55,40
55,128
55,50
55,246
55,4
55,280
55,92
55,134
55,788
55,132
55,290
55,167
55,38
55,381
55,221
55,244
55,104
55,259
55,23
55,151
55,51
55,67
55,48
56,58
56,237
56,124
56,127
56,177
56,7
56,68
56,104
56,15
56,531
56,434
56,105
56,113
57,184
57,84
57,97
57,0
57,124
57,5
57,127
57,587
57,128
57,22
57,528
57,611
57,186
57,321
57,50
57,642
57,420
57,643
57,9
57,155
57,662
57,160
57,213
57,669
57,385
57,437
57,177
57,78
57,246
57,283
57,733
57,305
57,432
57,189
57,92
57,538
57,134
57,156
57,60
57,788
57,515
57,273
57,132
57,214
57,290
57,167
57,7
57,96
57,44
57,499
57,145
57,38
57,41
57,168
57,376
57,171
57,381
57,221
57,62
57,13
57,210
57,68
57,244
57,104
57,264
57,15
57,277
57,23
57,151
57,711
57,714
57,206
57,51
57,531
57,64
57,67
57,209
57,1158
57,741
57,317
57,743
57,755
57,434
57,105
57,48
57,113
57,766
57,199
57,547
57,26
57,217
58,184
58,116
58,0
58,123
58,5
58,611
58,321
58,420
58,9
58,662
58,385
58,246
58,283
58,189
58,92
58,3
58,134
58,273
58,132
58,167
58,96
58,44
58,38
58,376
58,104
58,264
58,51
58,1158
58,743
58,755
58,105
58,48
58,113
58,766
58,199
58,547
58,26
59,58
