,H_ratio,M_ratio,T_ratio
277,0.818181818,0.136363636,0.045454545
373,0.814814815,0.148148148,0.037037037
2646,0.782608696,0.173913043,0.043478261
3523,0.769230769,0.205128205,0.025641026
311,0.75,0.2,0.05
1703,0.730769231,0.230769231,0.038461538
3160,0.72,0.28,0
84,0.709677419,0.225806452,0.064516129
400,0.7,0.3,0
1351,0.7,0.25,0.05
4197,0.695652174,0.217391304,0.086956522
5876,0.695652174,0.304347826,0
5921,0.695652174,0.282608696,0.02173913
2347,0.695652174,0.304347826,0
5936,0.694444444,0.222222222,0.083333333
609,0.692307692,0.307692308,0
2758,0.689655172,0.310344828,0
5392,0.681818182,0.272727273,0.045454545
2657,0.681818182,0.272727273,0.045454545
5962,0.68,0.32,0
1188,0.677419355,0.322580645,0
397,0.676470588,0.264705882,0.058823529
4536,0.676470588,0.264705882,0.058823529
4982,0.675675676,0.324324324,0
3048,0.671428571,0.271428571,0.057142857
5690,0.666666667,0.333333333,0
1849,0.666666667,0.333333333,0
2591,0.658536585,0.292682927,0.048780488
1763,0.653846154,0.307692308,0.038461538
1664,0.65,0.25,0.1
4547,0.65,0.3,0.05
5216,0.65,0.25,0.1
3407,0.65,0.25,0.1
7,0.64516129,0.35483871,0
1672,0.641025641,0.282051282,0.076923077
3863,0.64,0.36,0
5477,0.64,0.32,0.04
2831,0.638888889,0.305555556,0.055555556
4642,0.636363636,0.363636364,0
4159,0.636363636,0.363636364,0
1384,0.636363636,0.318181818,0.045454545
177,0.636363636,0.272727273,0.090909091
803,0.634615385,0.326923077,0.038461538
4986,0.62962963,0.333333333,0.037037037
2598,0.62962963,0.37037037,0
236,0.629032258,0.306451613,0.064516129
3061,0.625,0.34375,0.03125
3933,0.625,0.333333333,0.041666667
1771,0.625,0.333333333,0.041666667
5228,0.625,0.333333333,0.041666667
4143,0.625,0.333333333,0.041666667
5931,0.623376623,0.350649351,0.025974026
4919,0.621621622,0.324324324,0.054054054
1003,0.620689655,0.344827586,0.034482759
3256,0.620689655,0.310344828,0.068965517
5814,0.620689655,0.310344828,0.068965517
2923,0.619047619,0.333333333,0.047619048
4,0.619047619,0.380952381,0
574,0.619047619,0.333333333,0.047619048
4065,0.619047619,0.333333333,0.047619048
892,0.617647059,0.323529412,0.058823529
1558,0.615384615,0.384615385,0
5633,0.615384615,0.358974359,0.025641026
1578,0.612903226,0.290322581,0.096774194
2658,0.612903226,0.35483871,0.032258065
2065,0.612903226,0.290322581,0.096774194
4722,0.612903226,0.290322581,0.096774194
2521,0.611111111,0.388888889,0
2539,0.609756098,0.365853659,0.024390244
1485,0.608695652,0.391304348,0
5665,0.608695652,0.326086957,0.065217391
4228,0.608695652,0.260869565,0.130434783
5385,0.608695652,0.369565217,0.02173913
5951,0.603773585,0.358490566,0.037735849
1406,0.6,0.3,0.1
6008,0.6,0.342857143,0.057142857
2717,0.6,0.36,0.04
761,0.6,0.3,0.1
5309,0.6,0.35,0.05
997,0.6,0.366666667,0.033333333
3136,0.6,0.325,0.075
55,0.6,0.36,0.04
4563,0.6,0.375,0.025
1830,0.6,0.4,0
756,0.6,0.314285714,0.085714286
2957,0.59375,0.375,0.03125
2080,0.59375,0.3125,0.09375
4668,0.59375,0.40625,0
5975,0.592592593,0.388888889,0.018518519
5541,0.592592593,0.296296296,0.111111111
3335,0.592592593,0.407407407,0
686,0.592592593,0.296296296,0.111111111
4176,0.590909091,0.363636364,0.045454545
2902,0.590909091,0.363636364,0.045454545
4944,0.590909091,0.318181818,0.090909091
4702,0.590909091,0.363636364,0.045454545
2108,0.590909091,0.363636364,0.045454545
483,0.586206897,0.379310345,0.034482759
758,0.586206897,0.413793103,0
1991,0.583333333,0.416666667,0
5973,0.583333333,0.222222222,0.194444444
814,0.583333333,0.361111111,0.055555556
1515,0.583333333,0.333333333,0.083333333
5696,0.583333333,0.25,0.166666667
6022,0.583333333,0.395833333,0.020833333
2543,0.583333333,0.416666667,0
5381,0.583333333,0.375,0.041666667
4254,0.583333333,0.333333333,0.083333333
674,0.582278481,0.392405063,0.025316456
3595,0.580645161,0.387096774,0.032258065
2191,0.578947368,0.368421053,0.052631579
4424,0.575757576,0.333333333,0.090909091
3502,0.575757576,0.393939394,0.03030303
4770,0.575757576,0.424242424,0
2083,0.575,0.375,0.05
3631,0.575,0.35,0.075
3166,0.575,0.375,0.05
5199,0.571428571,0.342857143,0.085714286
1549,0.571428571,0.285714286,0.142857143
1787,0.571428571,0.357142857,0.071428571
1402,0.571428571,0.346938776,0.081632653
2915,0.569444444,0.361111111,0.069444444
3268,0.567164179,0.432835821,0
5984,0.566666667,0.433333333,0
4395,0.566666667,0.333333333,0.1
5918,0.565217391,0.391304348,0.043478261
2799,0.565217391,0.434782609,0
1914,0.565217391,0.391304348,0.043478261
4202,0.565217391,0.347826087,0.086956522
2729,0.565217391,0.434782609,0
2963,0.564102564,0.384615385,0.051282051
1289,0.564102564,0.41025641,0.025641026
5666,0.5625,0.375,0.0625
491,0.56,0.4,0.04
431,0.55952381,0.392857143,0.047619048
5377,0.558139535,0.325581395,0.11627907
3190,0.555555556,0.416666667,0.027777778
472,0.555555556,0.4,0.044444444
3573,0.555555556,0.416666667,0.027777778
3508,0.555555556,0.305555556,0.138888889
1245,0.555555556,0.388888889,0.055555556
5474,0.553191489,0.404255319,0.042553191
584,0.552631579,0.342105263,0.105263158
5808,0.552238806,0.417910448,0.029850746
1994,0.551724138,0.413793103,0.034482759
5206,0.551724138,0.379310345,0.068965517
917,0.551724138,0.413793103,0.034482759
246,0.551724138,0.344827586,0.103448276
1493,0.55,0.4,0.05
217,0.55,0.45,0
5168,0.55,0.4,0.05
2940,0.548387097,0.387096774,0.064516129
5088,0.548387097,0.419354839,0.032258065
3694,0.547169811,0.452830189,0
5293,0.546666667,0.413333333,0.04
3064,0.545454545,0.431818182,0.022727273
4864,0.545454545,0.454545455,0
619,0.545454545,0.454545455,0
2626,0.545454545,0.318181818,0.136363636
5873,0.545454545,0.454545455,0
1708,0.545454545,0.454545455,0
2388,0.545454545,0.454545455,0
1157,0.545454545,0.409090909,0.045454545
4741,0.545454545,0.409090909,0.045454545
4731,0.545454545,0.454545455,0
2816,0.545454545,0.409090909,0.045454545
2464,0.542857143,0.4,0.057142857
5235,0.542857143,0.457142857,0
502,0.541666667,0.458333333,0
489,0.541666667,0.25,0.208333333
20,0.541666667,0.416666667,0.041666667
353,0.541666667,0.375,0.083333333
152,0.541666667,0.333333333,0.125
2970,0.541666667,0.416666667,0.041666667
898,0.541666667,0.458333333,0
5581,0.540540541,0.459459459,0
4818,0.54,0.38,0.08
707,0.538461538,0.384615385,0.076923077
2838,0.538461538,0.358974359,0.102564103
2379,0.538461538,0.461538462,0
5155,0.538461538,0.384615385,0.076923077
5586,0.535714286,0.321428571,0.142857143
5983,0.535714286,0.428571429,0.035714286
1304,0.535714286,0.428571429,0.035714286
578,0.535714286,0.464285714,0
286,0.534883721,0.441860465,0.023255814
1349,0.534883721,0.418604651,0.046511628
2981,0.533333333,0.366666667,0.1
1269,0.53125,0.46875,0
4138,0.53125,0.4375,0.03125
1332,0.53125,0.4375,0.03125
3369,0.53125,0.4375,0.03125
5373,0.53125,0.4375,0.03125
1081,0.529411765,0.441176471,0.029411765
2433,0.529411765,0.441176471,0.029411765
5343,0.527777778,0.444444444,0.027777778
722,0.527272727,0.436363636,0.036363636
5774,0.527272727,0.418181818,0.054545455
5237,0.527272727,0.454545455,0.018181818
650,0.526315789,0.473684211,0
4853,0.526315789,0.447368421,0.026315789
598,0.526315789,0.473684211,0
4063,0.525423729,0.355932203,0.118644068
5882,0.525,0.475,0
4936,0.525,0.375,0.1
679,0.524390244,0.426829268,0.048780488
317,0.523809524,0.428571429,0.047619048
3068,0.523809524,0.380952381,0.095238095
742,0.523809524,0.428571429,0.047619048
3666,0.523809524,0.476190476,0
1409,0.523809524,0.392857143,0.083333333
2527,0.523809524,0.380952381,0.095238095
1307,0.523809524,0.333333333,0.142857143
1282,0.523809524,0.476190476,0
383,0.523809524,0.333333333,0.142857143
5810,0.523809524,0.380952381,0.095238095
4554,0.523809524,0.380952381,0.095238095
2644,0.523809524,0.428571429,0.047619048
3388,0.523809524,0.333333333,0.142857143
1126,0.523809524,0.380952381,0.095238095
4423,0.523809524,0.428571429,0.047619048
3225,0.523809524,0.380952381,0.095238095
1488,0.523809524,0.428571429,0.047619048
495,0.522727273,0.409090909,0.068181818
263,0.52173913,0.456521739,0.02173913
3396,0.52173913,0.391304348,0.086956522
2345,0.52173913,0.391304348,0.086956522
4622,0.52173913,0.347826087,0.130434783
4182,0.52173913,0.47826087,0
5628,0.52173913,0.304347826,0.173913043
617,0.52173913,0.434782609,0.043478261
790,0.52173913,0.391304348,0.086956522
4313,0.520833333,0.40625,0.072916667
1518,0.52,0.44,0.04
5836,0.52,0.36,0.12
2112,0.52,0.4,0.08
4546,0.52,0.4,0.08
2260,0.52,0.44,0.04
568,0.52,0.36,0.12
1795,0.52,0.24,0.24
4304,0.52,0.44,0.04
1949,0.519607843,0.362745098,0.117647059
5842,0.519230769,0.461538462,0.019230769
4914,0.519230769,0.403846154,0.076923077
3440,0.518518519,0.444444444,0.037037037
1682,0.518518519,0.37037037,0.111111111
4410,0.518518519,0.37037037,0.111111111
2956,0.518518519,0.481481481,0
2965,0.518518519,0.296296296,0.185185185
3269,0.518072289,0.397590361,0.084337349
288,0.517857143,0.428571429,0.053571429
3247,0.517241379,0.413793103,0.068965517
3535,0.517241379,0.448275862,0.034482759
1550,0.517241379,0.275862069,0.206896552
3730,0.517241379,0.344827586,0.137931034
5731,0.516666667,0.466666667,0.016666667
2960,0.516129032,0.387096774,0.096774194
479,0.516129032,0.440860215,0.043010753
2384,0.516129032,0.419354839,0.064516129
231,0.515463918,0.402061856,0.082474227
