,H_ratio,M_raio,T_ratio
4303,0.163101604,0.64171123,0.195187166
4535,0.163043478,0.619565217,0.217391304
2852,0.162962963,0.562962963,0.274074074
2174,0.162921348,0.646067416,0.191011236
5837,0.162921348,0.632958801,0.20411985
363,0.162790698,0.627906977,0.209302326
458,0.162790698,0.604651163,0.23255814
5573,0.162790698,0.593023256,0.244186047
1288,0.162790698,0.589147287,0.248062016
50,0.162790698,0.488372093,0.348837209
5077,0.162735849,0.525943396,0.311320755
1717,0.162735849,0.577830189,0.259433962
590,0.162650602,0.469879518,0.36746988
1746,0.162576687,0.601226994,0.236196319
4931,0.1625,0.5125,0.325
2863,0.162393162,0.512820513,0.324786325
927,0.162303665,0.602094241,0.235602094
1045,0.162162162,0.648648649,0.189189189
4541,0.162162162,0.547297297,0.290540541
2622,0.162162162,0.594594595,0.243243243
149,0.162162162,0.638513514,0.199324324
5703,0.162162162,0.675675676,0.162162162
4675,0.162162162,0.642642643,0.195195195
447,0.162162162,0.648648649,0.189189189
4815,0.162162162,0.657657658,0.18018018
1253,0.162162162,0.662162162,0.175675676
3093,0.162011173,0.592178771,0.245810056
1753,0.161971831,0.556338028,0.281690141
1803,0.161971831,0.661971831,0.176056338
5947,0.161971831,0.478873239,0.35915493
5558,0.16194332,0.473684211,0.36437247
2064,0.16194332,0.603238866,0.234817814
192,0.161904762,0.68952381,0.148571429
3422,0.161879896,0.613577023,0.224543081
3670,0.161764706,0.647058824,0.191176471
4007,0.161764706,0.659926471,0.178308824
2733,0.161616162,0.595959596,0.242424242
343,0.161616162,0.63973064,0.198653199
3603,0.161585366,0.594512195,0.243902439
235,0.161363636,0.547727273,0.290909091
5946,0.161290323,0.634408602,0.204301075
4714,0.161290323,0.629032258,0.209677419
6029,0.161290323,0.580645161,0.258064516
2822,0.161290323,0.483870968,0.35483871
4446,0.161137441,0.637440758,0.201421801
2021,0.161073826,0.630872483,0.208053691
3210,0.161073826,0.516778523,0.322147651
5468,0.161038961,0.597402597,0.241558442
548,0.161016949,0.550847458,0.288135593
677,0.16097561,0.556097561,0.282926829
2484,0.160877514,0.648994516,0.190127971
4364,0.16080402,0.587939698,0.251256281
4578,0.160714286,0.676785714,0.1625
3903,0.160714286,0.607142857,0.232142857
3402,0.160606061,0.56969697,0.26969697
5555,0.160583942,0.647810219,0.191605839
4633,0.160493827,0.481481481,0.358024691
4318,0.160416667,0.65,0.189583333
5686,0.160377358,0.664150943,0.175471698
928,0.160377358,0.669811321,0.169811321
4242,0.160305344,0.709923664,0.129770992
5964,0.160291439,0.64298725,0.196721311
3927,0.16025641,0.628205128,0.211538462
1889,0.16025641,0.628205128,0.211538462
3521,0.160206718,0.633074935,0.206718346
732,0.16,0.64,0.2
5642,0.16,0.58,0.26
5043,0.16,0.68,0.16
902,0.16,0.56,0.28
4960,0.16,0.546666667,0.293333333
3959,0.16,0.52,0.32
911,0.16,0.68,0.16
2053,0.16,0.28,0.56
2700,0.159863946,0.636054422,0.204081633
3579,0.159851301,0.598513011,0.241635688
2445,0.159836066,0.62704918,0.213114754
412,0.159663866,0.642857143,0.197478992
5522,0.159615385,0.6,0.240384615
2318,0.15942029,0.492753623,0.347826087
777,0.15936255,0.645418327,0.195219124
724,0.159235669,0.694267516,0.146496815
2062,0.159090909,0.704545455,0.136363636
1780,0.159090909,0.689935065,0.150974026
1371,0.159090909,0.522727273,0.318181818
3290,0.159090909,0.630681818,0.210227273
838,0.159090909,0.505681818,0.335227273
2315,0.159090909,0.522727273,0.318181818
546,0.159090909,0.527272727,0.313636364
533,0.159052453,0.695431472,0.145516074
3129,0.159045726,0.630218688,0.210735586
3007,0.158995816,0.60251046,0.238493724
48,0.158862876,0.678929766,0.162207358
5493,0.158813264,0.561954625,0.279232112
5139,0.158730159,0.738095238,0.103174603
4637,0.158730159,0.603174603,0.238095238
4302,0.158536585,0.711382114,0.130081301
3940,0.158536585,0.579268293,0.262195122
1209,0.158371041,0.71040724,0.131221719
817,0.158291457,0.645728643,0.195979899
5824,0.158181818,0.683636364,0.158181818
1685,0.158139535,0.609302326,0.23255814
4247,0.157894737,0.684210526,0.157894737
1639,0.157894737,0.638838475,0.203266788
2418,0.157894737,0.684210526,0.157894737
3118,0.157894737,0.677192982,0.164912281
5771,0.157894737,0.654135338,0.187969925
1037,0.157894737,0.552631579,0.289473684
639,0.1575,0.6125,0.23
5604,0.157480315,0.622047244,0.220472441
1265,0.157434402,0.583090379,0.259475219
1747,0.157407407,0.527777778,0.314814815
474,0.157232704,0.575471698,0.267295597
3816,0.157232704,0.657232704,0.185534591
3072,0.157142857,0.59047619,0.252380952
857,0.157142857,0.757142857,0.085714286
4281,0.156862745,0.62254902,0.220588235
5977,0.156862745,0.666666667,0.176470588
3592,0.156862745,0.658263305,0.18487395
3887,0.156739812,0.601880878,0.24137931
4115,0.156673114,0.688588008,0.154738878
214,0.156626506,0.590361446,0.253012048
797,0.156626506,0.590361446,0.253012048
2076,0.156626506,0.518072289,0.325301205
178,0.156521739,0.67826087,0.165217391
4784,0.156479218,0.606356968,0.237163814
1776,0.156398104,0.623222749,0.220379147
1599,0.156363636,0.634545455,0.209090909
896,0.15625,0.578125,0.265625
5329,0.15625,0.604779412,0.238970588
379,0.15625,0.734375,0.109375
1478,0.15625,0.625,0.21875
3724,0.156089194,0.670668954,0.173241852
5626,0.156069364,0.549132948,0.294797688
2004,0.155963303,0.642201835,0.201834862
4737,0.155963303,0.587155963,0.256880734
5519,0.155882353,0.635294118,0.208823529
1172,0.155756208,0.58013544,0.264108352
5287,0.155660377,0.669811321,0.174528302
229,0.155660377,0.599056604,0.245283019
3280,0.155624037,0.674884438,0.169491525
3499,0.155606407,0.624713959,0.219679634
689,0.155555556,0.555555556,0.288888889
1572,0.155555556,0.688888889,0.155555556
5564,0.155555556,0.644444444,0.2
3255,0.155555556,0.666666667,0.177777778
4726,0.155477032,0.565371025,0.279151943
2506,0.155378486,0.557768924,0.28685259
4062,0.155279503,0.649068323,0.195652174
3360,0.155172414,0.637931034,0.206896552
1699,0.155172414,0.577586207,0.267241379
5850,0.155172414,0.413793103,0.431034483
5137,0.155172414,0.568965517,0.275862069
4843,0.155172414,0.629310345,0.215517241
1902,0.15503876,0.662790698,0.182170543
2942,0.15503876,0.612403101,0.23255814
2503,0.155,0.7,0.145
5580,0.15496368,0.610169492,0.234866828
4079,0.154734411,0.598152425,0.247113164
5428,0.154639175,0.585051546,0.260309278
2913,0.154545455,0.551515152,0.293939394
5582,0.154411765,0.522058824,0.323529412
2883,0.154362416,0.644295302,0.201342282
4867,0.154340836,0.663987138,0.181672026
2776,0.154285714,0.674285714,0.171428571
199,0.154228856,0.599502488,0.246268657
621,0.154166667,0.5125,0.333333333
518,0.154150198,0.577075099,0.268774704
3018,0.154098361,0.636065574,0.209836066
3082,0.154054054,0.62972973,0.216216216
841,0.153846154,0.692307692,0.153846154
5249,0.153846154,0.659763314,0.186390533
4136,0.153846154,0.435897436,0.41025641
3957,0.153846154,0.703703704,0.142450142
2719,0.153846154,0.581196581,0.264957265
2216,0.153846154,0.576923077,0.269230769
3577,0.153846154,0.615384615,0.230769231
3598,0.153846154,0.4,0.446153846
4153,0.153846154,0.538461538,0.307692308
5783,0.153846154,0.717948718,0.128205128
3548,0.153846154,0.5,0.346153846
637,0.153846154,0.665782493,0.180371353
